"Name","model_name","input_shape","batch_size","augment","final_val_accuracy","final_val_loss","Runtime","epochs","epoch/epoch","learning_rate","normalize","epoch/val_accuracy","epoch/val_loss"
"deeper_cnn_64_32","deeper_cnn","[64,64,3]","32","true","0.7745000123977661","0.6870868802070618","97","30","23","0.001","false","0.770799994468689","0.6876758337020874"
"deeper_cnn_64_128_norm","deeper_cnn","[64,64,3]","128","true","0.769599974155426","0.7264638543128967","69","30","25","0.001","true","0.7717000246047974","0.731338381767273"
"deeper_cnn_64_64","deeper_cnn","[64,64,3]","64","true","0.7681999802589417","0.7193531394004822","67","30","21","0.001","false","0.7735000252723694","0.704203724861145"
"GuaxinimCNN_32_32","GuaxinimCNN","[32,32,3]","32","true","0.7631999850273132","0.7123327255249023","169","30","27","0.001","false","0.7730000019073486","0.6880396008491516"
"deeper_cnn_64_32_norm","deeper_cnn","[64,64,3]","32","true","0.7627000212669373","0.7299487590789795","115","30","27","0.001","true","0.7689999938011169","0.7166578769683838"
"deeper_cnn_32_64_norm","deeper_cnn","[32,32,3]","64","true","0.7587000131607056","0.7376071214675903","47","30","25","0.001","true","0.7142999768257141","0.8684070110321045"
"deeper_cnn_64_64_norm","deeper_cnn","[64,64,3]","64","true","0.7565000057220459","0.7269793152809143","61","30","19","0.001","true","0.7613000273704529","0.7777794003486633"
"deeper_cnn_32_128","deeper_cnn","[32,32,3]","128","true","0.754800021648407","0.7307630777359009","30","30","24","0.001","false","0.7652999758720398","0.7382687926292419"
"deeper_cnn_32_128_norm","deeper_cnn","[32,32,3]","128","true","0.7498999834060669","0.7411751747131348","33","30","26","0.001","true","0.7565000057220459","0.7505831718444824"
"baseline_cnn_32_32","baseline_cnn","[32,32,3]","32","true","0.7405999898910522","0.7600322961807251","90","30","28","0.001","false","0.7177000045776367","0.8908649682998657"
"deeper_cnn_32_32_norm","deeper_cnn","[32,32,3]","32","true","0.7404000163078308","0.7727143168449402","68","30","20","0.001","true","0.7581999897956848","0.7400357127189636"
"deeper_cnn_64_128","deeper_cnn","[64,64,3]","128","true","0.7372000217437744","0.7648382782936096","48","30","16","0.001","false","0.7317000031471252","0.9024309515953064"
"deeper_cnn_32_64","deeper_cnn","[32,32,3]","64","true","0.7267000079154968","0.8901898264884949","52","30","29","0.001","false","0.738099992275238","0.8451336622238159"
"baseline_cnn_64_64","baseline_cnn","[64,64,3]","64","true","0.7258999943733215","0.8150541186332703","79","30","29","0.001","false","0.7264999747276306","0.7951936721801758"
"baseline_cnn_32_128","baseline_cnn","[32,32,3]","128","true","0.7240999937057495","0.8090415596961975","27","30","24","0.001","false","0.7229999899864197","0.8406727313995361"