Name,model_name,input_shape,batch_size,augment,final_val_accuracy,final_val_loss,Runtime,epochs,epoch/epoch,learning_rate,epoch/accuracy,epoch/loss,epoch/val_accuracy,epoch/val_loss
ConvNeXtTiny_224_124_augment2,ConvNeXtTiny,"[224,224,3]",124,true,0.9262999892234802,0.22109022736549375,2227,20,18,0.001,0.9555749893188475,0.12694865465164185,0.9369999766349792,0.20134775340557096
ConvNeXtTiny_224_64,ConvNeXtTiny,"[224,224,3]",64,true,0.9261000156402588,0.22527475655078888,1821,20,15,0.001,0.9540749788284302,0.1283257156610489,0.9322999715805054,0.23346933722496033
ConvNeXtTiny_224_128,ConvNeXtTiny,"[224,224,3]",128,true,0.9254000186920166,0.22333800792694092,1502,20,12,0.001,0.9410750269889832,0.1644899994134903,0.9329000115394592,0.2017027288675308
ConvNeXtTiny_224_64,ConvNeXtTiny,"[224,224,3]",64,true,0.9240000247955322,0.2221074402332306,1378,20,11,0.001,0.9487000107765198,0.14898289740085602,0.9351000189781188,0.20064878463745117
ConvNeXtTiny_224_128,ConvNeXtTiny,"[224,224,3]",128,true,0.9222999811172484,0.22730617225170135,1502,20,12,0.001,0.9410250186920166,0.16622045636177063,0.9326000213623048,0.20686489343643188
ConvNeXtTiny_224_128,ConvNeXtTiny,"[224,224,3]",128,false,0.9221000075340272,0.2358972728252411,1384,20,11,0.001,0.9811000227928162,0.06591105461120605,0.9298999905586244,0.23091799020767212
ConvNeXtTiny_224_124,ConvNeXtTiny,"[224,224,3]",124,,0.9204000234603882,0.23974689841270447,1423,20,11,0.001,0.9785500168800354,0.07019045203924179,0.932099997997284,0.22685076296329496
ConvNeXtTiny_224_124_augment_test,ConvNeXtTiny,"[224,224,3]",124,true,0.914799988269806,0.248114213347435,333,2,1,0.001,0.9030749797821044,0.28941959142684937,0.923799991607666,0.23032473027706143
ConvNeXtTiny_224_124,ConvNeXtTiny,"[224,224,3]",124,true,0.9143999814987184,0.25128692388534546,334,2,1,0.001,0.9031749963760376,0.2874438166618347,0.9225000143051147,0.22825029492378235
ConvNeXtTiny_224_124,ConvNeXtTiny,"[224,224,3]",124,true,0.9099000096321106,0.2749175429344177,148,1,0,0.001,0.8521249890327454,0.4685232043266296,0.9144999980926514,0.2573753893375397
ConvNeXtTiny_96_128,ConvNeXtTiny,"[96,96,3]",128,true,0.8920999765396118,0.32865217328071594,302,20,13,0.001,0.9388750195503236,0.17441464960575104,0.8945000171661377,0.3296620845794678
ConvNeXtTiny_96_128,ConvNeXtTiny,"[96,96,3]",128,true,0.8899000287055969,0.32640594244003296,263,20,11,0.001,0.93197500705719,0.19387629628181455,0.8977000117301941,0.3188183903694153
ConvNeXtTiny_224_124_augment,ConvNeXtTiny,"[224,224,3]",124,true,0.8859000205993652,0.32861658930778503,2345,20,19,0.001,0.9121500253677368,0.24850590527057648,0.8931999802589417,0.31130653619766235
ConvNeXtTiny_96_64,ConvNeXtTiny,"[96,96,3]",64,true,0.885200023651123,0.343220055103302,198,20,7,0.001,0.9212499856948853,0.22114811837673187,0.8917999863624573,0.3319184184074402
ConvNeXtTiny_96_64,ConvNeXtTiny,"[96,96,3]",64,true,0.8842999935150146,0.33803799748420715,195,20,7,0.001,0.9225500226020812,0.22005067765712735,0.8927000164985657,0.3206084370613098
MobileNetV2_96_128,MobileNetV2,"[96,96,3]",128,true,0.8586999773979187,0.4147578477859497,80,20,14,0.001,0.890500009059906,0.31068509817123413,0.8622999787330627,0.437701016664505
MobileNetV2_224_128,MobileNetV2,"[224,224,3]",128,true,0.8569999933242798,0.41820088028907776,450,20,14,0.001,0.8860750198364258,0.3203065097332001,0.8618999719619751,0.4081514775753021
MobileNetV2_96_64,MobileNetV2,"[96,96,3]",64,true,0.8557999730110168,0.4199734330177307,57,20,8,0.001,0.8655499815940857,0.3755722939968109,0.8560000061988831,0.4342604875564575
MobileNetV2_224_128,MobileNetV2,"[224,224,3]",128,true,0.8543000221252441,0.42503175139427185,472,20,14,0.001,0.8831999897956848,0.33319544792175293,0.8586000204086304,0.42351987957954407
MobileNetV2_224_64,MobileNetV2,"[224,224,3]",64,true,0.8543000221252441,0.4492866694927216,485,20,19,0.001,0.8931750059127808,0.30088871717453003,0.8632000088691711,0.4107783138751984
MobileNetV2_96_128,MobileNetV2,"[96,96,3]",128,true,0.8539000153541565,0.4267919957637787,66,20,11,0.001,0.8796250224113464,0.34032386541366577,0.8585000038146973,0.435101181268692
ConvNeXtTiny_64_128,ConvNeXtTiny,"[64,64,3]",128,true,0.8533999919891357,0.4314952492713928,118,20,9,0.001,0.887624979019165,0.32062414288520813,0.8593999743461609,0.41541141271591187
MobileNetV2_224_64,MobileNetV2,"[224,224,3]",64,true,0.8522999882698059,0.4326499104499817,247,20,9,0.001,0.8678249716758728,0.3725318908691406,0.8544999957084656,0.4198226034641266
ConvNeXtTiny_64_64,ConvNeXtTiny,"[64,64,3]",64,true,0.8511999845504761,0.4382170438766479,147,20,9,0.001,0.8914750218391418,0.30421164631843567,0.8579000234603882,0.427384614944458
ConvNeXtTiny_64_128,ConvNeXtTiny,"[64,64,3]",128,true,0.8510000109672546,0.42906537652015686,138,20,11,0.001,0.8963000178337097,0.2931291460990906,0.8561000227928162,0.4234374463558197
ConvNeXtTiny_64_64,ConvNeXtTiny,"[64,64,3]",64,true,0.8510000109672546,0.43657851219177246,154,20,10,0.001,0.8963000178337097,0.29300838708877563,0.8511000275611877,0.4516232907772064
MobileNetV2_96_64,MobileNetV2,"[96,96,3]",64,true,0.8483999967575073,0.4505673944950104,72,20,11,0.001,0.8853750228881836,0.32347726821899414,0.8611000180244446,0.4268254339694977
MobileNetV2_224_128,MobileNetV2,"[224,224,3]",128,false,0.8479999899864197,0.457093745470047,290,20,11,0.001,0.945900022983551,0.1610821783542633,0.8592000007629395,0.478455126285553
MobileNetV2_64_128,MobileNetV2,"[64,64,3]",128,true,0.7276999950408936,0.8142173290252686,44,20,13,0.001,0.7696499824523926,0.6464477181434631,0.7315999865531921,0.8002263903617859
MobileNetV2_64_128,MobileNetV2,"[64,64,3]",128,true,0.7263000011444092,0.8235816359519958,45,20,13,0.001,0.7752000093460083,0.6382776498794556,0.724399983882904,0.8244830965995789
MobileNetV2_64_64,MobileNetV2,"[64,64,3]",64,true,0.7221999764442444,0.8389801979064941,58,20,14,0.001,0.7789000272750854,0.6243804693222046,0.7243000268936157,0.8304570317268372
MobileNetV2_64_64,MobileNetV2,"[64,64,3]",64,true,0.7182000279426575,0.8327532410621643,63,20,13,0.001,0.7743250131607056,0.6376549601554871,0.7276999950408936,0.816165030002594